"subsiteID","(Intercept)","bdMeanNightProp","bdMeanMoonProp","bdMeanForkLength","flow_cfs","temp_c","discharge_cfs","waterDepth_cm","waterDepth_ft","airTemp_C","airTemp_F","turbidity_ntu","waterVel_fts","waterTemp_C","waterTemp_F","lightPenetration_ntu","dissolvedOxygen_mgL","conductivity_mgL","barometer_inHg","precipLevel_qual","percQ","threshold","available","Stage"
"1001",1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,3,3,"Initial"
"1001",1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,"Interim (Temp)"
"1001",1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,3,3,"Interim (Flow)"
"1001",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,"Final"
"1001",-4.74057482299417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,"Final Model Betas"
"1001",0.00873362445414954,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,"Final Model Odds Ratios"
"1002",1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,28,31,"Initial"
"1002",1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,28,31,"Interim (Temp)"
"1002",1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,28,31,"Interim (Flow)"
"1002",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,28,31,"Final"
"1002",-1.84635901093212,0,0,0,-0.000687235814793804,0,0,-0.00890651566213446,0,0,0,0,1.0955170708698,0,0,0,0,0,0,0,0,28,31,"Final Model Betas"
"1002",0.157810708614252,1,1,1,0.999313000277652,1,1,0.991133029857136,1,1,1,1,2.99072870234971,1,1,1,1,1,1,1,1,28,31,"Final Model Odds Ratios"
"1003",1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,21,23,"Initial"
"1003",1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,21,23,"Interim (Temp)"
"1003",1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,21,23,"Interim (Flow)"
"1003",1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,21,23,"Final"
"1003",-4.44725197878501,0,2.52300869834339,0,0,0,0,-0.01673240201886,0,0,0,0.0384872152433366,1.29374630514311,0,0,0,0,0,0,0,0,21,23,"Final Model Betas"
"1003",0.0117107040566642,1,12.4660468717087,1,1,1,1,0.983406807104039,1,1,1,1.03923744187524,3.64642160729521,1,1,1,1,1,1,1,1,21,23,"Final Model Odds Ratios"
"1004",1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,61,64,"Initial"
"1004",1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,61,64,"Interim (Temp)"
"1004",1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,61,64,"Interim (Flow)"
"1004",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,61,64,"Final"
"1004",-3.50294872943886,0,0,0,-0.000552167903214661,0,0,-0.00332076143908139,0,0,0,0,0.603915790505016,0,0,0,0,0,0,0,0,61,64,"Final Model Betas"
"1004",0.0301084706631045,1,1,1,0.999447984513428,1,1,0.996684746190991,1,1,1,1,1.82926782379216,1,1,1,1,1,1,1,1,61,64,"Final Model Odds Ratios"
"1005",1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,59,61,"Initial"
"1005",1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,59,61,"Interim (Temp)"
"1005",1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,59,61,"Interim (Flow)"
"1005",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,59,61,"Final"
"1005",-2.77426555005915,0,0,0,-0.000260349116331192,0,0,-0.00358874186082685,0,0,0,0.0784983997716576,0,0,0,0,0,0,0,0,0,59,61,"Final Model Betas"
"1005",0.0623952860794326,1,1,1,0.999739684771559,1,1,0.996417689976876,1,1,1,1.0816616242553,1,1,1,1,1,1,1,1,1,59,61,"Final Model Odds Ratios"
"2001",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,136,151,"Initial"
"2001",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,136,151,"Interim (Temp)"
"2001",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,136,151,"Interim (Flow)"
"2001",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,136,151,"Final"
"2001",-3.60982276231913,0,0,0,0,0,0,0,0,0,0,0.0882156665246853,0,0.137765350698885,0,0,0,0,0,0,0,136,151,"Final Model Betas"
"2001",0.0270566418978698,1,1,1,1,1,1,1,1,1,1,1.0922236527086,1,1.14770621021507,1,1,1,1,1,1,1,136,151,"Final Model Odds Ratios"
"2004",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,8,"Initial"
"2004",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,8,"Interim (Temp)"
"2004",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,8,"Interim (Flow)"
"2004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,"Final"
"2004",-2.22594567845221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,"Final Model Betas"
"2004",0.107965269913175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,"Final Model Odds Ratios"
"3001",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,76,82,"Initial"
"3001",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,76,82,"Interim (Temp)"
"3001",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,76,82,"Interim (Flow)"
"3001",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,82,"Final"
"3001",-4.00598797385434,0,0,0,0,0,0,0,0,0,0,0.103000775831904,0,0,0,0,0,0,0,0,0,76,82,"Final Model Betas"
"3001",0.018206293028742,1,1,1,1,1,1,1,1,1,1,1.10849226907934,1,1,1,1,1,1,1,1,1,76,82,"Final Model Odds Ratios"
"3002",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,12,"Initial"
"3002",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,12,"Interim (Temp)"
"3002",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,12,"Interim (Flow)"
"3002",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,12,"Final"
"3002",-17.0737027047188,0,-32.5366226595123,0.647362554222048,-0.00102894709891711,0,0,0,0,0,0,0.533738875867718,0,0,0,0,0,0,0,0,0,11,12,"Final Model Betas"
"3002",3.84578613783581e-08,1,7.40498732027098e-15,1.91049535045473,0.998971582085633,1,1,1,1,1,1,1.70529629529262,1,1,1,1,1,1,1,1,1,11,12,"Final Model Odds Ratios"
"34001",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,82,88,"Initial"
"34001",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82,88,"Interim (Temp)"
"34001",1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,82,88,"Interim (Flow)"
"34001",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,88,"Final"
"34001",-2.41524938382147,0,0,0,-0.000465268221617395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,88,"Final Model Betas"
"34001",0.0893450549320069,1,1,1,0.999534839998857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82,88,"Final Model Odds Ratios"
"4001",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,17,"Initial"
"4001",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,17,"Interim (Temp)"
"4001",1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,17,"Interim (Flow)"
"4001",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,"Final"
"4001",-3.43025840439763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,"Final Model Betas"
"4001",0.0323785729261763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,"Final Model Odds Ratios"
"42010",1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,27,29,"Initial"
"42010",1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,27,29,"Interim (Temp)"
"42010",1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,27,29,"Interim (Flow)"
"42010",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,"Final"
"42010",-14.2686505446947,-9.07649219354033,0,0,0,0.67323864441153,0,0.0105612349031216,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,"Final Model Betas"
"42010",6.3562914775201e-07,0.000114321924113515,1,1,1,1.9605766603057,1,1.01061720159674,1,1,1,1,1,1,1,1,1,1,1,1,1,27,29,"Final Model Odds Ratios"
"42020",1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,58,62,"Initial"
"42020",1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,58,62,"Interim (Temp)"
"42020",1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,58,62,"Interim (Flow)"
"42020",1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,58,62,"Final"
"42020",-7.81570547118001,4.0254835584642,0,0,0,-0.278555612894502,0,0.00358954419738887,0,0,0,0.0533709349395632,0,0,0,0,0,0,0,0,161.522368448509,58,62,"Final Model Betas"
"42020",0.000403350167552143,56.0073850797428,1,1,1,0.75687617450461,1,1.00359599432653,1,1,1,1.05482084246594,1,1,1,1,1,1,1,1,1.40693269184706e+70,58,62,"Final Model Odds Ratios"
"42030",1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,66,69,"Initial"
