monthDay,average_cfs
1-1,0
1-2,0
1-3,0
1-4,0
1-5,0
1-6,0
1-7,0
1-8,0
1-9,0
1-10,0
1-11,0
1-12,0
1-13,0
1-14,0
1-15,0
1-16,0
1-17,0
1-18,0
1-19,0
1-20,0
1-21,0
1-22,0
1-23,0
1-24,0
1-25,0
1-26,0
1-27,0
1-28,0
1-29,42.75
1-30,4.916666667
1-31,0
2-1,0
2-2,0
2-3,0
2-4,0
2-5,0
2-6,12.33333333
2-7,19.25
2-8,20.16666667
2-9,0
2-10,0
2-11,0
2-12,0
2-13,0
2-14,22.66666667
2-15,21.33333333
2-16,21.91666667
2-17,0
2-18,0
2-19,19.5
2-20,13.08333333
2-21,8.583333333
2-22,10.16666667
2-23,20.83333333
2-24,21.5
2-25,21.58333333
2-26,9.416666667
2-27,35.16666667
2-28,37.91666667
2-29,41
3-1,41
3-2,18.25
3-3,0
3-4,27.5
3-5,6
3-6,8.083333333
3-7,9.75
3-8,12.49999201
3-9,10.5
3-10,11
3-11,21.25
3-12,18.66666667
3-13,31.83333333
3-14,30.5
3-15,20.91666667
3-16,18.83333333
3-17,21.66666667
3-18,21.91666667
3-19,20.83333333
3-20,20.25
3-21,0
3-22,10.75
3-23,10.33333333
3-24,10.25
3-25,0
3-26,30.75
3-27,0
3-28,30.33333333
3-29,37.66666667
3-30,28.5
3-31,27.91666667
4-1,20.91666667
4-2,13.08333333
4-3,10.41666667
4-4,21.16666667
4-5,9.25
4-6,10.58333333
4-7,9
4-8,8.75
4-9,10.16666667
4-10,10.16666667
4-11,21.25
4-12,32.25
4-13,32.25
4-14,32.08333333
4-15,31.91666667
4-16,31.83333333
4-17,37.41666667
4-18,25
4-19,41.25
4-20,56.33333333
4-21,62.66666667
4-22,64.33333333
4-23,80.16666667
4-24,86.41666667
4-25,94.91666667
4-26,109.1666667
4-27,116.9166667
4-28,117.1666667
4-29,117.0833333
4-30,96.91666667
5-1,95.58333333
5-2,63.5
5-3,123.8333333
5-4,202
5-5,222.0833333
5-6,203.6666667
5-7,131.5833333
5-8,223.8333333
5-9,296.5833333
5-10,141.8333333
5-11,174.9166667
5-12,142.6666667
5-13,155.6666667
5-14,169.1666667
5-15,413.25
5-16,628.5
5-17,718.4166667
5-18,643.3333333
5-19,626.4166667
5-20,671.3333333
5-21,609.25
5-22,574.5
5-23,489.5833333
5-24,490.9166667
5-25,525.8333333
5-26,622.6666667
5-27,692.1666667
5-28,642.1666667
5-29,678.4166667
5-30,640.5833333
5-31,632.6666667
6-1,704.25
6-2,757.5833333
6-3,694.4166667
6-4,732.3333333
6-5,716.0833333
6-6,709.25
6-7,617.8333333
6-8,684.8333333
6-9,681.8333333
6-10,628.1666667
6-11,636.9166667
6-12,685.25
6-13,615.4166667
6-14,624.25
6-15,821.5833333
6-16,891.9166667
6-17,938.1666667
6-18,986.25
6-19,1011.333333
6-20,998.8333333
6-21,976.0833333
6-22,953
6-23,933.25
6-24,986.25
6-25,1143
6-26,1075.416667
6-27,1029.083333
6-28,1075.75
6-29,1076.5
6-30,1159.333333
7-1,948.3333333
7-2,998.25
7-3,1083.333333
7-4,1060.75
7-5,984.5833333
7-6,1008.333333
7-7,971.9166667
7-8,979.5
7-9,1072.916667
7-10,1069.583333
7-11,1077.916667
7-12,1003.75
7-13,993.5
7-14,931.5
7-15,964.75
7-16,927.4166667
7-17,937.9166667
7-18,967
7-19,927.75
7-20,929.75
7-21,893.25
7-22,887
7-23,924
7-24,892.3333333
7-25,891.6666667
7-26,890.75
7-27,919.4166667
7-28,890.4166667
7-29,874
7-30,882.75
7-31,854.5
8-1,814.0833333
8-2,900.9166667
8-3,858.6666667
8-4,782.4166667
8-5,785.3333333
8-6,794.9166667
8-7,754.8333333
8-8,742
8-9,736
8-10,757.5
8-11,714.6666667
8-12,736.1666667
8-13,744.5833333
8-14,727.6666667
8-15,675.5833333
8-16,661.4166667
8-17,581.25
8-18,601.75
8-19,580
8-20,566.6666667
8-21,530.5833333
8-22,498.0833333
8-23,529.5833333
8-24,514.4166667
8-25,490.8333333
8-26,467.8333333
8-27,471.0833333
8-28,447.0833333
8-29,472.0833333
8-30,489.3333333
8-31,508.75
9-1,349.9166667
9-2,329.75
9-3,333.3333333
9-4,315.75
9-5,296.5833333
9-6,302.25
9-7,322.25
9-8,298.4166667
9-9,249.1666667
9-10,220.6666667
9-11,227.4166667
9-12,235.0833333
9-13,240.4166667
9-14,234.1666667
9-15,242.0833333
9-16,90.75
9-17,77.25
9-18,90.66666667
9-19,87.58333333
9-20,82.58333333
9-21,73.83333333
9-22,80.58333333
9-23,45.91666667
9-24,38.41666667
9-25,31.58333333
9-26,30.83333333
9-27,40.83333333
9-28,40.91666667
9-29,40.08333333
9-30,45.5
10-1,53
10-2,56.66666667
10-3,51.91666667
10-4,51.58333333
10-5,51.33333333
10-6,50.41666667
10-7,61.91666667
10-8,121
10-9,56.58333333
10-10,54.75
10-11,48
10-12,40.58333333
10-13,40.33333333
10-14,29.66666667
10-15,31.75
10-16,35.33333333
10-17,45.16666667
10-18,44.33333333
10-19,56.91666667
10-20,57.25
10-21,49.08333333
10-22,27.33333333
10-23,36.58333333
10-24,37.75
10-25,28.33333333
10-26,22.66666667
10-27,22.66666667
10-28,22.66666667
10-29,34.33333333
10-30,38.16666667
10-31,34.5
11-1,29.16666667
11-2,21.66666667
11-3,10.91666667
11-4,10.91666667
11-5,20.25
11-6,25
11-7,19.91666667
11-8,21.5
11-9,12.25
11-10,18.33333333
11-11,14.83333333
11-12,14.16666667
11-13,17.83333333
11-14,42.66666667
11-15,44.16666667
11-16,18.41666667
11-17,18.41666667
11-18,18.41666667
11-19,9.083333333
11-20,9.583333333
11-21,7.583333333
11-22,6.083333333
11-23,7
11-24,7
11-25,7
11-26,5.833333333
11-27,7.666666667
11-28,8.166666667
11-29,6.666666667
11-30,7.75
12-1,8.583333333
12-2,15.5
12-3,17.83333333
12-4,25.5
12-5,24.41666667
12-6,9.833333333
12-7,13.33333333
12-8,10.91666667
12-9,10.91666667
12-10,5.583333333
12-11,5.25
12-12,9
12-13,7.166666667
12-14,7.583333333
12-15,11.5
12-16,7.083333333
12-17,5.833333333
12-18,7.166666667
12-19,15
12-20,15.08333333
12-21,9.916666667
12-22,9.916666667
12-23,13.08333333
12-24,8.916666667
12-25,8.75
12-26,0.916666667
12-27,0
12-28,2.083333333
12-29,0
12-30,0
12-31,0
