streamName,Site,siteID,Season,minvisitTime,maxvisitTime
Feather River,Eye riffle,3000,1999,12/3/1998,8/5/1999
Feather River,Eye riffle,3000,2000,8/5/1999,8/4/2000
Feather River,Eye riffle,3000,2001,7/25/2000,6/28/2001
Feather River,Eye riffle,3000,2002,11/19/2001,6/21/2002
Feather River,Eye riffle,3000,2003,11/27/2002,6/30/2003
Feather River,Eye riffle,3000,2004,12/1/2003,6/19/2004
Feather River,Eye riffle,3000,2005,11/3/2004,6/5/2005
Feather River,Eye riffle,3000,2006,11/10/2005,4/28/2006
Feather River,Gateway Riffle,52000,2013,12/13/2012,6/7/2013
Feather River,Gateway Riffle,52000,2014,12/3/2013,5/1/2014
Feather River,Herringer Riffle,5000,2002,1/9/2002,6/21/2002
Feather River,Herringer Riffle,5000,2003,11/26/2002,6/9/2003
Feather River,Herringer Riffle,5000,2004,12/3/2003,6/15/2004
Feather River,Herringer Riffle,5000,2005,11/2/2004,6/13/2005
Feather River,Herringer Riffle,5000,2006,11/10/2005,6/22/2006
Feather River,Herringer Riffle,5000,2008,1/1/2008,6/11/2008
Feather River,Herringer Riffle,5000,2012,11/29/2011,5/25/2012
Feather River,Herringer Riffle,5000,2013,11/26/2012,6/7/2013
Feather River,Herringer Riffle,5000,2014,12/19/2013,5/28/2014
Feather River,Live Oak,4000,1999,12/9/1998,8/5/1999
Feather River,Live Oak,4000,2000,8/5/1999,8/4/2000
Feather River,Steep Riffle,2000,2007,12/12/2006,5/27/2007
Feather River,Steep Riffle,2000,2008,10/29/2007,7/17/2008
Feather River,Steep Riffle,2000,2009,10/29/2008,8/6/2009
Feather River,Steep Riffle,2000,2010,7/27/2009,6/8/2010
Feather River,Steep Riffle,2000,2011,11/8/2010,6/2/2011
Feather River,Steep Riffle,2000,2012,11/27/2011,6/20/2012
Feather River,Sunset Pumps,6000,2007,12/29/2006,8/7/2007
Feather River,Sunset Pumps,6000,2009,12/24/2008,8/6/2009
Feather River,Sunset Pumps,6000,2010,7/27/2009,6/3/2010
Feather River,Sunset Pumps,6000,2011,12/7/2010,6/2/2011
