streamName,Site,siteID,Season,minvisitTime,maxvisitTime
Sacramento River,RBDD RST,42000,1998,12/1/1997,11/30/1998
Sacramento River,RBDD RST,42000,1999,12/1/1998,11/30/1999
Sacramento River,RBDD RST,42000,2000,12/1/1999,11/30/2000
Sacramento River,RBDD RST,42000,2002,12/1/2001,11/30/2002
Sacramento River,RBDD RST,42000,2003,12/1/2002,11/30/2003
Sacramento River,RBDD RST,42000,2004,12/1/2003,11/30/2004
Sacramento River,RBDD RST,42000,2005,12/1/2004,11/30/2005
Sacramento River,RBDD RST,42000,2006,12/1/2005,11/30/2006
Sacramento River,RBDD RST,42000,2007,12/1/2006,11/30/2007
Sacramento River,RBDD RST,42000,2008,12/1/2007,11/30/2008
Sacramento River,RBDD RST,42000,2009,12/1/2008,11/30/2009
Sacramento River,RBDD RST,42000,2011,12/1/2010,11/30/2011
Sacramento River,RBDD RST,42000,2012,12/1/2011,11/30/2012
Sacramento River,RBDD RST,42000,2014,12/1/2013,11/30/2014
Sacramento River,RBDD RST,42000,2015,12/1/2014,11/30/2015
