streamName,Site,siteID,Season,minvisitTime,maxvisitTime
Stanislaus River,Caswell State Park,1000,1996,1/29/1996,7/8/1996
Stanislaus River,Caswell State Park,1000,1997,3/11/1997,7/5/1997
Stanislaus River,Caswell State Park,1000,1998,12/31/1997,7/23/1998
Stanislaus River,Caswell State Park,1000,1999,1/10/1999,7/7/1999
Stanislaus River,Caswell State Park,1000,2000,12/7/1999,7/7/2000
Stanislaus River,Caswell State Park,1000,2001,12/14/2000,7/5/2001
Stanislaus River,Caswell State Park,1000,2002,1/8/2002,6/14/2002
Stanislaus River,Caswell State Park,1000,2003,1/10/2003,6/12/2003
Stanislaus River,Caswell State Park,1000,2004,1/2/2004,6/11/2004
Stanislaus River,Caswell State Park,1000,2005,12/28/2004,6/24/2005
Stanislaus River,Caswell State Park,1000,2006,2/28/2006,7/21/2006
Stanislaus River,Caswell State Park,1000,2007,1/3/2007,6/29/2007
Stanislaus River,Caswell State Park,1000,2008,1/15/2008,7/3/2008
Stanislaus River,Caswell State Park,1000,2009,1/6/2009,7/2/2009
Stanislaus River,Caswell State Park,1000,2010,1/4/2010,6/24/2010
Stanislaus River,Caswell State Park,1000,2011,12/6/2010,7/15/2011
Stanislaus River,Caswell State Park,1000,2012,12/19/2011,7/10/2012
Stanislaus River,Caswell State Park,1000,2013,12/10/2012,6/27/2013
Stanislaus River,Caswell State Park,1000,2014,12/14/2013,7/4/2014
Stanislaus River,Caswell State Park,1000,2015b,12/1/2005,8/31/2006
