streamName,Site,siteID,Season,minvisitTime,maxvisitTime
American River,American River at Watt Avenue,57000,2013,1/16/2013,6/8/2013
American River,American River at Watt Avenue,57000,2014,12/31/2013,5/30/2014
American River,American River at Watt Avenue,57000,2015,1/1/2015,7/1/2015
American River,American River at Watt Avenue,57000,2016,1/1/2016,7/1/2015
Feather River,Eye riffle,3000,1999,12/3/1998,8/5/1999
Feather River,Eye riffle,3000,2000,8/5/1999,8/4/2000
Feather River,Eye riffle,3000,2001,7/25/2000,6/28/2001
Feather River,Eye riffle,3000,2002,11/19/2001,6/21/2002
Feather River,Eye riffle,3000,2003,11/27/2002,6/30/2003
Feather River,Eye riffle,3000,2004,12/1/2003,6/19/2004
Feather River,Eye riffle,3000,2005,11/3/2004,6/5/2005
Feather River,Eye riffle,3000,2006,11/10/2005,4/28/2006
Feather River,Gateway Riffle,52000,2013,12/13/2012,6/7/2013
Feather River,Gateway Riffle,52000,2014,12/3/2013,5/1/2014
Feather River,Herringer Riffle,5000,2002,1/9/2002,6/21/2002
Feather River,Herringer Riffle,5000,2003,11/26/2002,6/9/2003
Feather River,Herringer Riffle,5000,2004,12/3/2003,6/15/2004
Feather River,Herringer Riffle,5000,2005,11/2/2004,6/13/2005
Feather River,Herringer Riffle,5000,2006,11/10/2005,6/22/2006
Feather River,Herringer Riffle,5000,2008,1/1/2008,6/11/2008
Feather River,Herringer Riffle,5000,2012,11/29/2011,5/25/2012
Feather River,Herringer Riffle,5000,2013,11/26/2012,6/7/2013
Feather River,Herringer Riffle,5000,2014,12/19/2013,5/28/2014
Feather River,Live Oak,4000,1999,12/9/1998,8/5/1999
Feather River,Live Oak,4000,2000,8/5/1999,8/4/2000
Feather River,Steep Riffle,2000,2007,12/12/2006,5/27/2007
Feather River,Steep Riffle,2000,2008,10/29/2007,7/17/2008
Feather River,Steep Riffle,2000,2009,10/29/2008,8/6/2009
Feather River,Steep Riffle,2000,2010,7/27/2009,6/8/2010
Feather River,Steep Riffle,2000,2011,11/8/2010,6/2/2011
Feather River,Steep Riffle,2000,2012,11/27/2011,6/20/2012
Feather River,Sunset Pumps,6000,2007,12/29/2006,8/7/2007
Feather River,Sunset Pumps,6000,2009,12/24/2008,8/6/2009
Feather River,Sunset Pumps,6000,2010,7/27/2009,6/3/2010
Feather River,Sunset Pumps,6000,2011,12/7/2010,6/2/2011
Sacramento River,RBDD RST,42000,1998,12/1/1997,11/30/1998
Sacramento River,RBDD RST,42000,1999,12/1/1998,11/30/1999
Sacramento River,RBDD RST,42000,2000,12/1/1999,11/30/2000
Sacramento River,RBDD RST,42000,2002,12/1/2001,11/30/2002
Sacramento River,RBDD RST,42000,2003,12/1/2002,11/30/2003
Sacramento River,RBDD RST,42000,2004,12/1/2003,11/30/2004
Sacramento River,RBDD RST,42000,2005,12/1/2004,11/30/2005
Sacramento River,RBDD RST,42000,2006,12/1/2005,11/30/2006
Sacramento River,RBDD RST,42000,2007,12/1/2006,11/30/2007
Sacramento River,RBDD RST,42000,2008,12/1/2007,11/30/2008
Sacramento River,RBDD RST,42000,2009,12/1/2008,11/30/2009
Sacramento River,RBDD RST,42000,2011,12/1/2010,11/30/2011
Sacramento River,RBDD RST,42000,2012,12/1/2011,11/30/2012
Sacramento River,RBDD RST,42000,2013,12/1/2012,11/30/2013
Sacramento River,RBDD RST,42000,2014,12/1/2013,11/30/2014
Sacramento River,RBDD RST,42000,2015,12/1/2014,11/30/2015
Stanislaus River,Caswell State Park,1000,1996,1/29/1996,7/8/1996
Stanislaus River,Caswell State Park,1000,1997,3/11/1997,7/5/1997
Stanislaus River,Caswell State Park,1000,1998,12/31/1997,7/23/1998
Stanislaus River,Caswell State Park,1000,1999,1/10/1999,7/7/1999
Stanislaus River,Caswell State Park,1000,2000,12/7/1999,7/7/2000
Stanislaus River,Caswell State Park,1000,2001,12/14/2000,7/5/2001
Stanislaus River,Caswell State Park,1000,2002,1/8/2002,6/14/2002
Stanislaus River,Caswell State Park,1000,2003,1/10/2003,6/12/2003
Stanislaus River,Caswell State Park,1000,2004,1/2/2004,6/11/2004
Stanislaus River,Caswell State Park,1000,2005,12/28/2004,6/24/2005
Stanislaus River,Caswell State Park,1000,2006,2/28/2006,7/21/2006
Stanislaus River,Caswell State Park,1000,2007,1/3/2007,6/29/2007
Stanislaus River,Caswell State Park,1000,2008,1/15/2008,7/3/2008
Stanislaus River,Caswell State Park,1000,2009,1/6/2009,7/2/2009
Stanislaus River,Caswell State Park,1000,2010,1/4/2010,6/24/2010
Stanislaus River,Caswell State Park,1000,2011,12/6/2010,7/15/2011
Stanislaus River,Caswell State Park,1000,2012,12/19/2011,7/10/2012
Stanislaus River,Caswell State Park,1000,2013,12/10/2012,6/27/2013
Stanislaus River,Caswell State Park,1000,2014,12/14/2013,7/4/2014
Mokelumne River,Golf RST Main Site,34000,2006,11/1/2005,8/1/2006
Mokelumne River,Golf RST Main Site,34000,2007,11/1/2006,8/1/2007
Mokelumne River,Golf RST Main Site,34000,2008,11/1/2007,8/1/2008
Mokelumne River,Golf RST Main Site,34000,2009,11/1/2008,8/1/2009
Mokelumne River,Golf RST Main Site,34000,2010,11/1/2009,8/1/2010
Mokelumne River,Golf RST Main Site,34000,2011,11/1/2010,8/1/2011
Mokelumne River,Golf RST Main Site,34000,2012,11/1/2011,8/1/2012
Mokelumne River,Golf RST Main Site,34000,2013,11/1/2012,8/1/2013
Mokelumne River,Golf RST Main Site,34000,2014,11/1/2013,8/1/2014
