streamName,Site,siteID,Season,minvisitTime,maxvisitTime,SalmonRun,RunID,Issues,RandNo,Run Number
American River,American River at Watt Avenue,57000,2012-2013,1/16/2013,6/8/2013,Spring,1,,0.629654477,1
American River,American River at Watt Avenue,57000,2013-2014,12/31/2013,5/30/2014,Spring,1,,0.259615685,2
Feather River,Eye riffle,3000,1997-1998,12/15/1997,7/8/1998,Spring,1,Your criteria returned no releases.,0.269849643,
Feather River,Eye riffle,3000,1998-1999,12/3/1998,8/5/1999,Spring,1,,0.978274654,3
Feather River,Eye riffle,3000,1999-2000,8/5/1999,8/4/2000,Spring,1,,0.738788871,4
Feather River,Eye riffle,3000,2000-2001,7/25/2000,6/28/2001,Spring,1,,0.057671572,5
Feather River,Eye riffle,3000,2001-2002,11/19/2001,6/21/2002,Spring,1,,0.714860987,6
Feather River,Eye riffle,3000,2002-2003,11/27/2002,6/30/2003,Spring,1,,0.537532107,7
Feather River,Eye riffle,3000,2003-2004,12/1/2003,6/19/2004,Spring,1,,0.064610014,8
Feather River,Eye riffle,3000,2004-2005,11/3/2004,6/5/2005,Spring,1,,0.197495551,9
Feather River,Eye riffle,3000,2005-2006,11/10/2005,4/28/2006,Spring,1,,0.075957302,10
Feather River,Gateway Riffle,52000,2012-2013,12/13/2012,6/7/2013,Spring,1,,0.05597823,11
Feather River,Gateway Riffle,52000,2013-2014,12/3/2013,5/1/2014,Spring,1,,0.07899981,12
Feather River,Herringer Riffle,5000,2001-2002,1/9/2002,6/21/2002,Spring,1,,0.600779037,13
Feather River,Herringer Riffle,5000,2002-2003,11/26/2002,6/9/2003,Spring,1,,0.258157959,14
Feather River,Herringer Riffle,5000,2003-2004,12/3/2003,6/15/2004,Spring,1,,0.552666463,15
Feather River,Herringer Riffle,5000,2004-2005,11/2/2004,6/13/2005,Spring,1,,0.721608377,16
Feather River,Herringer Riffle,5000,2005-2006,11/10/2005,6/22/2006,Spring,1,,0.301692801,17
Feather River,Herringer Riffle,5000,2007-2008,1/1/2008,6/11/2008,Spring,1,,0.826244352,18
Feather River,Herringer Riffle,5000,2009-2010,11/23/2009,12/10/2009,Spring,1,No observed catches meet valid criteria.,0.791356404,
Feather River,Herringer Riffle,5000,2011-2012,11/29/2011,5/25/2012,Spring,1,,0.114546524,19
